State,Total.Population,votes,votes16_trumpd,votes16_clintonh,votes16_johnsong,votes16_steinj,rep16_frac,dem16_frac,At.Least.Bachelor.s.Degree,At.Least.High.School.Diploma,Less.Than.High.School,Graduate.Degree,White.not.Latino.Population,African.American.Population,Native.American.Population,Asian.American.Population,Population.some.other.race.or.races,Latino.Population,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Adult.obesity,Diabetes,Uninsured,Unemployment,Diabetes
Nevada,2623157.0,1122990,511319,537753,37299,,0.7226178115294116,0.27738218847058826,16.58823529411765,84.78235294117647,15.217647058823525,5.288235294117648,74.81764705882352,1.952941176470588,3.3147058823529414,1.7647058823529413,2.5176470588235293,15.63529411764706,27.47941176470588,19.741176470588236,21.652941176470588,1.761764705882353,16.705882352941178,12.647058823529413,0.2722352941176471,0.08947058823529412,0.2320588235294118,0.09735294117647057,0.08947058823529412
New Hampshire,1315944.5,732229,345789,348521,30827,6416,0.49835212120000005,0.5016478788000001,29.80999999999999,90.03,9.969999999999999,10.91,94.53999999999999,0.72,0.25,1.4599999999999997,1.285,1.75,34.945,16.79,24.97,0.61,10.09,12.59,0.2704000000000001,0.08949999999999998,0.1401,0.054900000000000004,0.08949999999999998
New Jersey,8721221.0,3674893,1535513,2021756,68695,35949,0.4631967616666665,0.5368032383333334,32.51428571428571,87.4285714285714,12.571428571428575,12.004761904761908,66.25238095238096,11.569047619047618,0.1523809523809524,5.938095238095239,1.6476190476190478,14.42857142857143,38.0595238095238,16.376190476190473,26.29285714285714,0.31666666666666665,8.438095238095238,10.538095238095238,0.2526190476190477,0.09047619047619049,0.14057142857142857,0.09847619047619048,0.09047619047619049
New Mexico,2012019.5,788841,315875,380724,73669,9729,0.5389113402727274,0.4610886597272727,20.560606060606055,81.63636363636363,18.363636363636356,8.400000000000002,44.41666666666667,1.1954545454545455,6.8651515151515135,0.8333333333333333,1.4348484848484848,45.25,30.69393939393939,19.87272727272727,23.5030303030303,2.3803030303030304,13.62878787878788,9.913636363636366,0.25396969696969696,0.0866060606060606,0.23454545454545456,0.06942424242424242,0.0866060606060606
New York,19400999.0,7046175,2640570,4143874,161836,99895,0.5492384588387097,0.45076154116129014,25.14032258064516,86.86129032258061,13.138709677419358,10.94516129032258,83.40725806451613,5.702419354838712,0.40564516129032246,2.3790322580645156,1.5975806451612895,6.497580645161289,34.13548387096774,18.446774193548386,24.270967741935493,0.8822580645161292,9.593548387096776,12.672580645161288,0.27396774193548384,0.09593548387096776,0.11527419354838708,0.0862741935483871,0.09593548387096776
North Carolina,9290594.0,4629471,2339603,2162074,127794,,0.59299652795,0.40700347205000015,18.802000000000007,80.28200000000001,19.718000000000004,6.1979999999999995,69.582,20.567000000000004,1.473,0.9474999999999997,1.4514999999999996,5.9854999999999965,28.875500000000002,17.729,22.866999999999994,1.5960000000000003,12.082999999999993,16.8415,0.3036499999999998,0.11943000000000005,0.19770000000000004,0.10298000000000006,0.11943000000000005
North Dakota,656158.0,336968,216133,93526,21351,3769,0.7495242738679246,0.25047572613207547,19.458490566037735,85.98867924528302,14.011320754716982,4.29811320754717,90.24339622641511,0.3254716981132077,6.554716981132077,0.3754716981132076,1.0877358490566038,1.420754716981132,36.307547169811315,16.549056603773582,19.991509433962264,3.3518867924528304,10.696226415094337,13.102830188679244,0.3133396226415095,0.09528301886792453,0.13190566037735846,0.03613207547169811,0.09528301886792453
Ohio,11524181.0,5325395,2771984,2317001,168599,44310,0.6788958631363637,0.3211041368636363,17.43977272727273,85.86590909090908,14.134090909090908,6.355681818181816,91.46818181818183,3.9852272727272706,0.196590909090909,0.7579545454545454,1.505113636363636,2.092045454545454,28.421590909090902,16.868749999999995,23.267045454545457,0.6795454545454546,10.081818181818186,20.682954545454546,0.3128977272727274,0.11155681818181827,0.1410681818181818,0.07761363636363634,0.11155681818181827
Oklahoma,3680712.0,1451056,947934,419788,83334,,0.7894244055064935,0.21057559449350652,17.407792207792202,82.73246753246754,17.267532467532476,5.407792207792209,74.088961038961,3.5681818181818183,9.047402597402598,0.6142857142857145,5.514935064935063,7.166233766233767,29.037012987012986,17.416883116883117,22.846103896103898,2.057142857142857,13.234415584415585,15.406493506493502,0.3338831168831169,0.12270129870129873,0.22916883116883113,0.05084415584415586,0.12270129870129873
Oregon,3779240.5,1808575,742506,934631,86306,45132,0.6087038656111112,0.39129613438888877,21.583333333333332,87.58611111111114,12.41388888888889,7.611111111111111,83.45694444444445,0.6041666666666667,1.723611111111111,1.430555555555556,2.6666666666666665,10.113888888888887,30.787500000000005,18.44583333333333,23.361111111111114,4.159722222222221,9.60277777777778,13.647222222222222,0.27272222222222225,0.09555555555555557,0.19227777777777783,0.09702777777777778,0.09555555555555557
Pennsylvania,12609487.5,5970107,2912941,2844705,142653,48912,0.6593891360298508,0.3406108639701493,19.926865671641796,86.64776119402985,13.352238805970151,7.267164179104475,90.47761194029852,4.052238805970149,0.14626865671641784,1.1358208955223883,1.1014925373134328,3.09179104477612,29.797014925373134,17.055970149253724,23.77761194029851,0.801492537313433,10.487313432835823,18.083582089552237,0.30282089552238806,0.10635820895522394,0.12477611940298512,0.08050746268656715,0.10635820895522394
Rhode Island,1054974.0,450787,179421,249902,14643,6155,0.4235592508,0.5764407492,36.2,87.53999999999999,12.46,14.4,87.13000000000001,2.73,0.35,2.06,1.97,5.79,39.61,17.869999999999997,24.6,0.24000000000000005,7.67,10.04,0.2398,0.07699999999999999,0.1032,0.0964,0.07699999999999999
South Carolina,4521115.5,2084444,1143611,849469,48715,12917,0.541970095152174,0.4580299048478259,18.082608695652173,79.0478260869565,20.952173913043474,6.210869565217393,57.786956521739135,35.99782608695652,0.36739130434782613,0.692391304347826,1.2728260869565218,3.8739130434782605,27.095652173913045,17.52934782608696,23.493478260869566,1.0086956521739128,11.127173913043478,19.751086956521743,0.3465000000000001,0.13217391304347825,0.19843478260869568,0.10902173913043475,0.13217391304347825
South Dakota,805346.5,367151,227460,114938,20741,,0.7089346412307694,0.2910653587692308,20.263636363636355,86.23181818181818,13.768181818181818,5.193939393939393,82.52954545454547,0.31515151515151524,13.47348484848485,0.43939393939393945,1.5454545454545456,1.6962121212121213,36.607575757575745,17.066666666666666,20.663636363636364,4.065151515151515,9.623484848484852,11.968939393939396,0.3238636363636362,0.10131818181818181,0.15737878787878792,0.04924242424242421,0.10131818181818181
Tennessee,6252529.0,2484691,1517402,867110,70084,15919,0.753639375568421,0.24636062443157888,14.518947368421054,77.42736842105263,22.57263157894737,5.1926315789473705,87.94157894736844,7.123684210526317,0.28894736842105256,0.5326315789473683,1.3747368421052626,2.7426315789473685,26.23842105263157,16.297368421052628,23.100526315789466,1.1226315789473689,12.049473684210529,21.193684210526303,0.32570526315789483,0.12145263157894745,0.17487368421052635,0.09264210526315796,0.12145263157894745
Texas,24482301.5,8903237,4681590,3867816,282524,71307,0.739528453570866,0.26047154642913406,17.270472440944886,76.85374015748036,22.55570866141735,5.141535433070871,59.89881889763778,6.321653543307085,0.4279527559055117,0.8194881889763777,1.108464566929134,31.425196850393686,29.116141732283463,18.41476377952758,22.021653543307078,3.0901574803149625,13.285039370078739,14.071259842519686,0.2981417322834646,0.106259842519685,0.2657992125984252,0.06291338582677164,0.106259842519685
Utah,2707850.5,984957,452086,274188,33142,7695,0.768801924965517,0.2311980750344827,22.782758620689656,89.7344827586207,10.26551724137931,7.13448275862069,86.50689655172417,0.40344827586206894,3.103448275862069,0.7879310344827588,1.465517241379311,7.72241379310345,31.24137931034483,17.343103448275862,23.72068965517241,2.0068965517241377,12.993103448275862,12.68448275862069,0.2579655172413793,0.07820689655172414,0.18300000000000002,0.06634482758620688,0.07820689655172414
Vermont,623077.5,291413,95053,178179,10047,6748,0.39457488921428574,0.6054251107857143,29.692857142857143,89.67142857142856,10.328571428571427,11.571428571428571,95.47857142857141,0.6214285714285713,0.33571428571428574,0.7464285714285716,1.5607142857142857,1.25,36.324999999999996,17.09642857142857,22.560714285714287,1.5535714285714288,10.721428571428572,11.75357142857143,0.25921428571428573,0.0785,0.08578571428571427,0.05485714285714287,0.0785
Virginia,7861377.0,3844787,1731156,1916845,116600,27272,0.57379964381203,0.42620035618796986,22.935820895522394,81.0156716417911,18.98432835820897,8.885074626865675,73.44589552238808,18.861194029850747,0.303731343283582,1.6839552238805968,1.632835820895522,4.070522388059702,31.9018656716418,17.190298507462682,24.007089552238806,1.0828358208955222,11.542537313432831,14.274626865671637,0.30204477611940306,0.11152238805970152,0.16065671641791043,0.07076865671641791,0.11152238805970152
Washington,6595147.5,2957942,1129120,1610524,144599,51066,0.560178233923077,0.4398217660769231,23.251282051282054,87.33846153846152,12.661538461538461,8.476923076923079,79.37692307692308,1.1115384615384618,2.2423076923076914,2.324358974358974,2.86025641025641,12.079487179487177,32.17179487179488,18.02948717948718,22.930769230769236,3.8705128205128223,10.453846153846154,12.557692307692308,0.2958717948717949,0.09684615384615386,0.18312820512820513,0.0925897435897436,0.09684615384615386
West Virginia,1832198.5,708226,486198,187457,22798,8000,0.7651464438727272,0.2348535561272727,13.794545454545455,79.75818181818181,20.241818181818182,5.118181818181819,95.16909090909091,2.1727272727272715,0.18090909090909094,0.37909090909090926,1.1872727272727273,0.9163636363636362,26.233636363636357,18.609999999999992,22.875454545454538,0.9754545454545457,14.944545454545457,16.36909090909091,0.337018181818182,0.13236363636363638,0.18925454545454543,0.08310909090909092,0.13236363636363638
Wisconsin,5643203.0,2937326,1403694,1380823,106367,30934,0.5767145439444445,0.42328545605555545,20.076388888888886,88.71805555555552,11.281944444444443,6.416666666666666,91.00347222222221,1.3999999999999995,2.609027777777778,1.031944444444444,1.1395833333333332,2.815277777777778,28.69027777777778,16.836805555555557,22.93541666666668,1.8541666666666663,9.961805555555559,19.727777777777774,0.2968055555555556,0.091375,0.10922222222222225,0.07427777777777779,0.091375
Wyoming,543787.5,248742,174248,55949,13285,2512,0.7982326835652174,0.2017673164347826,23.082608695652173,91.14782608695653,8.85217391304348,7.460869565217391,88.84130434782608,0.4304347826086956,1.5326086956521738,0.5260869565217391,1.4804347826086954,7.160869565217391,30.98478260869565,17.143478260869564,20.504347826086956,2.228260869565217,16.110869565217396,13.006521739130436,0.25443478260869556,0.07799999999999999,0.18152173913043476,0.05365217391304348,0.07799999999999999
